symbol,exchange,currency,example_local_symbol,example_conid,description
MXP,CME,USD,MXPH6,785318996,MICRO XRP
MXUS,NYSELIFFE,USD,MUNH6,750739785,MSCI USA INDEX
MXWO,NYSELIFFE,USD,MWLH6,750739788,MSCI WORLD INDEX
MYM,CBOT,USD,MYMH6,770561159,MICRO E-MINI DOW JONES INDUSTRIAL AVERAGE INDEX
MZC,CBOT,USD,MZCH6,763552571,MICRO CORN FUTURES
MZL,CBOT,USD,MZLZ6,763552609,MICRO SOYBEAN OIL FUTURES
MZM,CBOT,USD,MZMN6,763552674,MICRO SOYBEAN MEAL FUTURES
MZS,CBOT,USD,MZSH6,763552718,MICRO SOYBEAN FUTURES
MZW,CBOT,USD,MZWN6,763552765,MICRO WHEAT FUTURES
NCF,IPE,USD,NCFV6,399215150,NEWCASTLE COAL FUTURES
NF,CME,USD,GNFF6,681156895,NON FAT DRY MILK INDEX
NG,NYMEX,USD,NGF27,269459992,HENRY HUB NATURAL GAS
NGF,IPE,GBP,NGFG6,359348850,ICE UK NATURAL GAS
NIY,CME,JPY,NKZ7,531718087,YEN DENOMINATED NIKKEI 225 INDEX
NJ,NYBOT,SEK,NJH6,769319867,NORWEGIAN KRONE
